cod_bna,nombre,tipo_estacion,vigencia,region,comuna,cuenca,altitud,latitud,longitud
04723002-0,Huintil,Meteorológicas,Vigentes,Región de Coquimbo,Comuna de Illapel,Rio Choapa,650,-31.57332283,-70.99814773
04723003-9,Pueblo Carcamo,Control de Nivel,Vigentes,Región de Coquimbo,Comuna de Illapel,Rio Choapa,469,-31.58609389,-71.07182048
04723006-3,Apr Carcamo,Calidad de Aguas,Vigentes,Región de Coquimbo,Comuna de Illapel,Rio Choapa,362,-31.59112332,-71.07037229
04724000-K,Pozo Matancilla,Calidad de Aguas,Vigentes,Región de Coquimbo,Comuna de Illapel,Rio Choapa,0,-31.42993015,-71.01322417
04725001-3,Estero Auco Antes Del Rio Illapel (Ca),Calidad de Aguas,Vigentes,Región de Coquimbo,Comuna de Illapel,Rio Choapa,325,-31.61875726,-71.1421317
04726001-9,Rio Illapel En El Peral,Meteorológicas,Vigentes,Región de Coquimbo,Comuna de Illapel,Rio Choapa,206,-31.66859942,-71.25561902
04726003-5,Illapel Dga,Meteorológicas,Vigentes,Región de Coquimbo,Comuna de Illapel,Rio Choapa,290,-31.64344662,-71.18187565
04726004-3,Illapel Dos,Meteorológicas,Suspendidas,Región de Coquimbo,Comuna de Illapel,Rio Choapa,290,-31.64547384,-71.19094796
04730001-0,Rio Choapa Aguas Arriba Estero La Canela,Fluviométricas,Vigentes,Región de Coquimbo,Comuna de Canela,Rio Choapa,40,-31.58663434,-71.46304305
04730002-9,Rio Choapa En Dogna Juana (Ca),Calidad de Aguas,Suspendidas,Región de Coquimbo,Comuna de Illapel,Rio Choapa,105,-31.6519535,-71.33167847
04730003-7,Rio Choapa En La Canela (Ca),Calidad de Aguas,Suspendidas,Región de Coquimbo,Comuna de Canela,Rio Choapa,35,-31.58610726,-71.46885531
04730004-5,Mincha Norte,Meteorológicas,Vigentes,Región de Coquimbo,Comuna de Canela,Rio Choapa,50,-31.58727049,-71.45013252
04730005-3,Tunga Norte,Control de Nivel,Vigentes,Región de Coquimbo,Comuna de Illapel,Rio Choapa,97,-31.62957639,-71.36652645
04730006-1,Apr Mincha Norte,Calidad de Aguas,Vigentes,Región de Coquimbo,Comuna de Canela,Rio Choapa,0,-31.58814367,-71.43796545
04730007-K,Apr Mincha Sur,Calidad de Aguas,Vigentes,Región de Coquimbo,Comuna de Canela,Rio Choapa,0,-31.60077498,-71.4348595
04730008-8,Apr Tunga Norte,Calidad de Aguas,Vigentes,Región de Coquimbo,Comuna de Illapel,Rio Choapa,0,-31.62690119,-71.36342304
04730009-6,Apr Tunga Sur,Calidad de Aguas,Vigentes,Región de Coquimbo,Comuna de Illapel,Rio Choapa,0,-31.64430429,-71.3518872
04732001-1,La Canela Dmc,Meteorológicas,Vigentes,Región de Coquimbo,Comuna de Canela,Rio Choapa,290,-31.39734225,-71.45637043
04732002-K,Apr Los Pozos,Calidad de Aguas,Vigentes,Región de Coquimbo,Comuna de Canela,Rio Choapa,0,-31.36315044,-71.26029341
04734000-4,Apr Caraquidaño,Calidad de Aguas,Vigentes,Región de Coquimbo,Comuna de Canela,Rio Choapa,1573,-31.46885964,-71.41810462
04735001-8,Rio Choapa En Huentelauquen (Ca),Calidad de Aguas,Vigentes,Región de Coquimbo,Comuna de Canela,Rio Choapa,0,-31.59114948,-71.53418477
04735002-6,Pueblo Huentelauquen,Control de Nivel,Vigentes,Región de Coquimbo,Comuna de Canela,Costeras entre R.Choapa y R.Quilimari,13,-31.60609328,-71.53462131
04735003-4,Pueblo Huentelauquen,Control de Nivel,Suspendidas,Región de Coquimbo,Comuna de Canela,Rio Choapa,0,-31.58380487,-71.53345912
04800001-0,Chigualoco,Control de Nivel,Vigentes,Región de Coquimbo,Comuna de Los Vilos,Costeras entre R.Choapa y R.Quilimari,12,-31.74465426,-71.49744359
04810001-5,Estero Pupio En El Romero,Calidad de Aguas,Vigentes,Región de Coquimbo,Comuna de Los Vilos,Costeras entre R.Choapa y R.Quilimari,570,-31.95113111,-71.07511925
